X: PhotonEnergy [eV],Y: XCOM:Rayle...nt)[cm^-1],Y: XCOM:Compt...nt)[cm^-1],Y: XCOM:Photo...ric[cm^-1],Y: XCOM:Total...ion[cm^-1],Y: XCOM:Total...Coh[cm^-1]
4909.73,27.6909,0.202139,4727.3,4755.24,4727.3
4922.29,27.6446,0.202594,4698.25,4726.19,4698.25
4934.85,27.5983,0.203048,4669.21,4697.15,4669.21
4947.41,27.5544,0.203485,5023.1,5051.04,5023.1
4959.97,27.509,0.203942,4990.64,5018.57,4990.64
4972.53,27.4635,0.204399,4958.17,4986.11,4958.17
4985.09,27.4167,0.204851,4926.51,4954.45,4926.51
4997.65,27.3677,0.205294,4896.04,4923.97,4896.04
5010.21,27.3216,0.205737,4865.7,4893.44,4865.7
5022.78,27.2762,0.20618,4835.39,4862.9,4835.39
5035.34,27.2307,0.206623,4805.08,4832.35,4805.08
5047.9,27.1852,0.207065,4774.78,4801.81,4774.78
5060.46,27.1398,0.207508,4744.47,4771.27,4744.47
5073.02,27.0943,0.207951,4714.16,4740.72,4714.16
5085.58,27.049,0.208394,4684.81,4711.27,4684.81
5098.14,27.0039,0.208838,4656.08,4682.54,4656.08
5110.7,26.9588,0.209282,4627.35,4653.81,4627.35
5123.26,26.9136,0.209726,4598.62,4625.09,4598.62
5135.82,26.8685,0.21017,4569.89,4596.36,4569.89
5148.38,26.8233,0.210614,4541.16,4567.63,4541.16
5160.94,26.7782,0.211058,4512.43,4538.9,4512.43
5173.51,26.733,0.211502,4483.7,4510.17,4483.7
5186.07,26.6885,0.211941,4456.44,4482.91,4456.44
5198.63,26.6443,0.212378,4429.74,4456.21,4429.74
5211.19,26.6,0.212815,4403.05,4429.51,4403.05
5223.75,26.5558,0.213252,4376.35,4402.82,4376.35
5236.31,26.5115,0.213689,4349.65,4376.12,4349.65
5248.87,26.4673,0.214126,4322.95,4349.42,4322.95
5261.43,26.423,0.214564,4296.26,4322.72,4296.26
5273.99,26.3788,0.215001,4269.56,4296.03,4269.56
5286.55,26.3351,0.215437,4243.95,4270.41,4243.95
5299.11,26.2917,0.215872,4218.84,4245.31,4218.84
5311.67,26.2483,0.216308,4193.74,4220.21,4193.74
5324.24,26.2049,0.216744,4168.64,4195.1,4168.64
5336.8,26.1615,0.21718,4143.54,4170,4143.54
5349.36,26.1181,0.217615,4118.43,4144.9,4118.43
5361.92,26.0747,0.218051,4093.33,4119.79,4093.33
5374.48,26.0313,0.218487,4068.23,4094.69,4068.23
5387.04,25.9885,0.218917,4044.05,4070.52,4044.05
5399.6,25.9464,0.219342,4020.88,4047.35,4020.88
5412.16,25.9042,0.219768,3997.7,4024.17,3997.7
5424.72,25.8621,0.220193,3974.53,4001,3974.53
5437.28,25.8199,0.220618,3951.36,3977.82,3951.36
5449.84,25.7777,0.221043,3928.19,3954.65,3928.19
5462.41,25.7356,0.221468,3905.01,3931.48,3905.01
5474.97,25.6934,0.221893,3881.84,3908.31,3881.84
5487.53,25.6512,0.222318,3858.73,3885.19,3858.73
5500.09,25.6095,0.222745,3836.98,3863.26,3836.98
5512.65,25.5677,0.223171,3815.23,3841.34,3815.23
5525.21,25.5259,0.223597,3793.48,3819.42,3793.48
5537.77,25.4842,0.224024,3771.73,3797.5,3771.73
5550.33,25.4424,0.22445,3749.99,3775.58,3749.99
5562.89,25.4006,0.224876,3728.24,3753.66,3728.24
5575.45,25.3589,0.225303,3706.49,3731.74,3706.49
5588.01,25.3171,0.225729,3684.74,3709.82,3684.74
5600.57,25.2757,0.226154,3663.65,3688.64,3663.65
5613.14,25.2347,0.226578,3643.14,3668.14,3643.14
5625.7,25.1937,0.227001,3622.64,3647.64,3622.64
5638.26,25.1527,0.227425,3602.14,3627.14,3602.14
